review_id,evidence_state,human_testing_status,result_signal,candidate_assessment,review_note,negative_evidence_found,what_kind_of_negative_evidence,evidence_sources,reviewed_on
R28,TESTED_INCONCLUSIVE,WITHDRAWN_TRIAL_AND_SMALL_OFFLABEL_REPORTS,MIXED,KEEP_UNDER_REVIEW,"A propranolol RCC trial withdrew for poor recruitment, while preclinical VHL/RCC work and tiny off-label reports suggest activity; efficacy remains untested adequately.",NO,"Withdrawal for poor recruitment is operational, not negative efficacy evidence.",https://clinicaltrials.gov/study/NCT03323710;https://pmc.ncbi.nlm.nih.gov/articles/PMC7563408/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7265978/,2026-08-01
R29,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct suramin-GIST study was located; PDGFRA targeting is hypothetical.",NO,"No pair-specific negative study found.",,2026-08-01
R30,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is a predisposition syndrome rather than a tumour indication.",NOT_APPLICABLE,"Category error.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R31,TESTED_SIGNAL,COMPLETED_SINGLE_ARM_PHASE_2,POSITIVE_WITH_LIMITATIONS,LEAD_EARLY_HUMAN_SIGNAL,"High-dose atorvastatin plus chemotherapy produced encouraging marker and PFS results in advanced PDAC, but the study was single-arm and cannot establish comparative efficacy.",NO,"No atorvastatin-specific negative trial found; a negative simvastatin trial is class context, not the same intervention.",https://www.sciencedirect.com/science/article/pii/S1934590925002656,2026-08-01
R32,ACTIVE_TRIAL_NO_RESULT,RECRUITING_MULTI_ARM_AND_BIOMARKER_COMBINATION,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Fedratinib appears in recruiting studies of accelerated/blast-phase MPN, including an AML-listed multi-agent protocol and a separate IDH-mutant combination study; neither is evidence for unselected AML.",NO,"No efficacy result yet; the multi-agent protocol does not isolate a fedratinib-AML result.",https://clinicaltrials.gov/study/NCT04282187;https://clinicaltrials.gov/study/NCT04955938,2026-08-01
R33,TESTED_INCONCLUSIVE,COMPLETED_WINDOW_STUDY,MIXED,NOT_NOVEL_CLINICALLY_TESTED,"Hydroxychloroquine plus sirolimus reduced PET metabolism in STS but did not reduce tumour volume in the short window; most patients did not complete the efficacy phase.",YES,"Published/registry evidence shows no volumetric response and incomplete efficacy follow-through, not a clean futility result.",https://pubmed.ncbi.nlm.nih.gov/26375670/;https://clinicaltrials.gov/study/NCT01842594,2026-08-01
R34,TESTED_SIGNAL,COMPLETED_PHASE_2,POSITIVE_WITH_LIMITATIONS,NOT_NOVEL_CLINICALLY_TESTED,"Capmatinib phase II in 20 type-1 papillary RCC patients reported 15% ORR and 50% disease control; promising but small and subtype-specific.",NO,"No negative pair-level result; signal is modest and unrandomized.",https://clinicaltrials.gov/study/NCT02019693;https://pmc.ncbi.nlm.nih.gov/articles/PMC11870658/,2026-08-01
R35,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct mebendazole-soft-tissue-sarcoma study was confirmed; the sole registry search hit is an avapritinib study and was a false positive.",NO,"No pair-specific negative study found; search absence remains unresolved.",,2026-08-01
R36,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No baricitinib-myelofibrosis treatment study was located; target overlap with JAK2 is not clinical evidence.",NO,"No pair-specific negative study found.",,2026-08-01
R37,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct mebendazole-CLL study was located.",NO,"No pair-specific negative study found; mebendazole's broad cancer literature does not validate this pair.",,2026-08-01
R38,MECHANISM_MISMATCH,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,EXCLUDE_TARGET_SELECTIVITY_MISMATCH,"Filgotinib is JAK1-selective clinically; treating its database JAK2 edge as established enough for myelofibrosis is misleading.",NO,"No pair-specific negative study found; the main problem is target selectivity.",,2026-08-01
R39,COMPLETED_TRIALS_UNRESOLVED,MULTIPLE_HETEROGENEOUS_COMBINATION_RECORDS,UNKNOWN,NOT_NOVEL_UNRESOLVED,"Oxaliplatin appears in multiple sarcoma combination records, but no coherent pair-level efficacy conclusion attributable to oxaliplatin or TP53 was established in this pass.",NO,"No clean oxaliplatin-specific negative result identified; heterogeneous completed records require regimen-level review.",,2026-08-01
R40,TESTED_SIGNAL,COMPLETED_PHASE_2,POSITIVE,NOT_NOVEL_CLINICALLY_TESTED,"Adagrasib produced objective responses in 7 of 21 KRAS G12C pancreatic cancers; the candidate is real but already clinically demonstrated and biomarker-specific.",NO,"No negative pair-level result; acquired resistance is documented but does not erase response.",https://pubmed.ncbi.nlm.nih.gov/37099736/,2026-08-01
R41,HUMAN_ASSOCIATION_NOT_TREATMENT,OBSERVATIONAL_PREVENTION_COHORTS,MIXED,LOW_PRIORITY_NOT_TREATMENT_EVIDENCE,"Propranolol-HCC evidence concerns incidence/prevention in cirrhosis rather than treatment of established HCC; meta-analysis found no significant association overall.",YES,"Meta-analysis found no significant HCC association (OR 0.94, 95% CI 0.62-1.44), while individual observational cohorts suggested lower incidence.",https://pubmed.ncbi.nlm.nih.gov/37538177/;https://pubmed.ncbi.nlm.nih.gov/27294486/;https://pubmed.ncbi.nlm.nih.gov/34224163/,2026-08-01
R42,INVALID_GRAPH_RECEIPT,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,EXCLUDE_UNSUPPORTED_GRAPH_EDGE,"KDR-to-GIST cites PMID 23177518, which does not resolve in PubMed; no direct ramucirumab-GIST study was located.",NOT_APPLICABLE,"The graph receipt is nonexistent; this is upstream evidence failure.",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=23177518&retmode=json,2026-08-01
R43,ACTIVE_TRIAL_NO_RESULT,RECRUITING_PHASE_1,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Disulfiram with copper and liposomal doxorubicin is recruiting in treatment-refractory sarcomas; safety is primary and there are no posted results.",NO,"No efficacy result yet.",https://clinicaltrials.gov/study/NCT05210374,2026-08-01
R44,TESTED_SIGNAL,COMPLETED_PHASE_2,POSITIVE_WITH_LIMITATIONS,REAL_CANDIDATE_BAD_GRAPH_RECEIPT,"Cabozantinib showed activity in refractory GIST, but the graph route relies on the same nonexistent KDR-GIST PMID; literature plausibility does not validate graph attribution.",NO,"No negative pair-level result; activity was modest and dose reductions were frequent.",https://pubmed.ncbi.nlm.nih.gov/42363143/;https://clinicaltrials.gov/study/NCT02216578,2026-08-01
R45,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct disulfiram-CLL treatment evidence was located; broader leukemia preclinical work is not pair-specific.",NO,"No pair-specific negative study found.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10963497/,2026-08-01
R46,TESTED_INACTIVE_PUBLISHED,COMPLETED_PHASE_2,NEGATIVE,NOT_NOVEL_CONTRADICTED,"Two RCC studies found one partial response among 26 patients and no responses in a 23-patient 5-FU combination; authors concluded no meaningful activity.",YES,"Two completed published human studies reported no significant activity.",https://pubmed.ncbi.nlm.nih.gov/1394202/;https://pubmed.ncbi.nlm.nih.gov/18824429/,2026-08-01
R47,TESTED_NO_EFFICACY_OUTCOME,COMPLETED_SMALL_ADJUNCT_STUDY,NOT_AVAILABLE,NOT_NOVEL_UNRESOLVED,"A 34-patient cimetidine adjunct study around transarterial therapy measured immune/NK-cell effects, not convincing antitumour efficacy; animal HCC data are positive.",NO,"No negative efficacy result because the human study did not answer tumour efficacy.",https://pubmed.ncbi.nlm.nih.gov/12749247/;https://pubmed.ncbi.nlm.nih.gov/18202782/,2026-08-01
R48,TESTED_MIXED,EARLY_COMBINATION_AND_REGISTRY_EVIDENCE,MIXED,NOT_NOVEL_CLINICALLY_TESTED,"Regorafenib combinations showed responses in unselected NSCLC, but RET-specific registry evidence is essentially one patient and multikinase RET approaches have limited evidence.",YES,"RET-inhibitor registry evidence showed short median PFS across heterogeneous multikinase inhibitors; not a clean regorafenib failure.",https://pubmed.ncbi.nlm.nih.gov/26003007/;https://ascopubs.org/doi/10.1200/JCO.2016.70.9352/,2026-08-01
R49,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct nitroglycerin-RCC treatment study was located; HIF1A biology does not establish this drug pair.",NO,"No pair-specific negative study found.",,2026-08-01
R50,TESTED_SIGNAL,COMPLETED_PHASE_1,POSITIVE_WITH_LIMITATIONS,NOT_NOVEL_CLINICALLY_TESTED,"Copanlisib produced breast-cancer responses in a first-in-human study and 16-week stable disease in 6 of 12 patients with trastuzumab; evidence is early and combination-based.",NO,"No pair-level negative result found in these breast cohorts.",https://pubmed.ncbi.nlm.nih.gov/27672108/;https://pubmed.ncbi.nlm.nih.gov/33799597/,2026-08-01
R51,TESTED_MIXED,COMPLETED_BIOMARKER_AND_RANDOMIZED_STUDIES,MIXED,NOT_NOVEL_CLINICALLY_TESTED,"Crizotinib produced durable responses in a tiny MET-positive papillary RCC subset, but its PAPMET arm closed for futility and was inferior to cabozantinib.",YES,"Randomized PAPMET crizotinib arm closed for futility; earlier biomarker-selected responses prevent a blanket inactive label.",https://pubmed.ncbi.nlm.nih.gov/29149761/;https://pmc.ncbi.nlm.nih.gov/articles/PMC8687736/,2026-08-01
R52,PRECLINICAL_ONLY,NO_HUMAN_PAIR_STUDY_CONFIRMED,PRECLINICAL_SIGNAL,KEEP_LOW_PRIORITY_PRECLINICAL,"Bazedoxifene inhibits IL-6/gp130 signaling preclinically, but no multiple-myeloma treatment trial or pair-specific efficacy study was located.",NO,"No pair-specific negative study found.",https://pubmed.ncbi.nlm.nih.gov/24456369/,2026-08-01
R53,TESTED_SIGNAL,COMPLETED_PHASE_2,POSITIVE_WITH_LIMITATIONS,NOT_NOVEL_CLINICALLY_TESTED,"Palbociclib met a prespecified signal threshold in CDK4-amplified sarcoma and has repeated liposarcoma phase-II activity; broad STS wording remains too coarse.",NO,"No negative pair-level conclusion; activity is mainly disease-subtype and biomarker specific.",https://pubmed.ncbi.nlm.nih.gov/39013131/;https://pubmed.ncbi.nlm.nih.gov/37875500/;https://pubmed.ncbi.nlm.nih.gov/27124835/,2026-08-01
R54,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No deuruxolitinib-myelofibrosis treatment evidence was located; shared JAK-family pharmacology is insufficient.",NO,"No pair-specific negative study found.",,2026-08-01
R55,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No tepotinib-RCC treatment study was located despite MET rationale.",NO,"No pair-specific negative study found.",,2026-08-01
R56,PRECLINICAL_ONLY,NO_HUMAN_PAIR_STUDY_CONFIRMED,PRECLINICAL_SIGNAL,KEEP_LOW_PRIORITY_PRECLINICAL,"Diclofenac has colorectal-cancer preclinical evidence and appears in repurposing reviews, but no human treatment efficacy result was located.",NO,"No pair-specific negative study found.",https://pubmed.ncbi.nlm.nih.gov/34436652/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4720497/,2026-08-01
R57,ACTIVE_TRIAL_NO_RESULT,ACTIVE_SOLID_TUMOR_BASKET,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Amivantamab has an active solid-tumour study allowing RCC, but no RCC-specific result was located.",NO,"No RCC efficacy result yet.",https://clinicaltrials.gov/study/NCT04606381,2026-08-01
R58,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct suramin-HCC treatment study was located; VEGFR2-HCC evidence is contextual microenvironment biology.",NO,"No pair-specific negative study found.",,2026-08-01
R59,PRECLINICAL_ONLY,NO_HUMAN_PAIR_STUDY_CONFIRMED,PRECLINICAL_SIGNAL,KEEP_LOW_PRIORITY_PRECLINICAL,"Artesunate inhibits RCC growth and angiogenesis in preclinical models, but no human RCC efficacy study was located.",NO,"No pair-specific negative study found.",https://pubmed.ncbi.nlm.nih.gov/26426994/,2026-08-01
R60,TESTED_SIGNAL,COMPLETED_PHASE_2,POSITIVE_WITH_LIMITATIONS,NOT_NOVEL_CLINICALLY_TESTED,"Abemaciclib phase II in dedifferentiated liposarcoma reported 12-week PFS 76.7% and median PFS about 33 weeks; broad STS wording is too coarse.",NO,"No negative pair-level result in the cited subtype; randomized confirmation is still needed.",https://pubmed.ncbi.nlm.nih.gov/37695642/,2026-08-01
